Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,18022022,582721270,0001941
Trade Date <18-FEB-2022>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1221,NIRAJ,EQ,23442,11500,49.06
20,1222,NITCO,EQ,31248,19406,62.10
20,1223,NITIRAJ,EQ,2144,849,39.60
20,1224,NLCINDIA,EQ,1910881,704788,36.88
20,1225,NMDC,EQ,6234795,2000976,32.09
20,1226,NOCIL,EQ,261375,90013,34.44
20,1227,NOIDATOLL,EQ,84725,60882,71.86
20,1228,NORBTEAEXP,EQ,2172,2172,100.00
20,1229,NOVARTIND,EQ,6782,4346,64.08
20,1230,NPBET,EQ,113,93,82.30
20,1231,NRAIL,EQ,4999,2763,55.27
20,1232,NRBBEARING,EQ,494008,266058,53.86
20,1233,NRL,SM,450000,252000,56.00
20,1234,NSIL,EQ,865,376,43.47
20,1235,NTPC,EQ,6760078,2816908,41.67
20,1236,NTPC,N1,157,156,99.36
20,1237,NTPC,N3,182,182,100.00
20,1238,NTPC,N4,307,307,100.00
20,1239,NTPC,N6,66,66,100.00
20,1240,NTPC,N7,5180,5180,100.00
20,1241,NTPC,NA,46,46,100.00
20,1242,NTPC,ND,512,512,100.00
20,1243,NUCLEUS,EQ,14982,6565,43.82
20,1244,NURECA,EQ,13392,3012,22.49
20,1245,NUVOCO,EQ,163876,47122,28.75
20,1246,NXTDIGITAL,EQ,349595,99377,28.43
20,1247,NYKAA,EQ,1394833,555180,39.80
20,1248,OAL,EQ,5663,2922,51.60
20,1249,OBEROIRLTY,EQ,310326,65224,21.02
20,1250,OCCL,EQ,3525,2383,67.60
20,1251,OFSS,EQ,39396,14026,35.60
20,1252,OIL,EQ,281226,158015,56.19
20,1253,OILCOUNTUB,EQ,7178,3975,55.38
20,1254,OLECTRA,EQ,91403,58961,64.51
20,1255,OMAXAUTO,EQ,26117,14092,53.96
20,1256,OMAXE,EQ,622677,148987,23.93
20,1257,OMINFRAL,EQ,278622,90433,32.46
20,1258,OMKARCHEM,EQ,36258,28590,78.85
20,1259,ONELIFECAP,EQ,15942,14152,88.77
20,1260,ONEPOINT,EQ,308936,237081,76.74
20,1261,ONGC,EQ,11829998,3639289,30.76
20,1262,ONMOBILE,EQ,926586,240934,26.00
20,1263,ONWARDTEC,EQ,51675,28993,56.11
20,1264,OPTIEMUS,EQ,64702,22100,34.16
20,1265,ORBTEXP,EQ,440236,122630,27.86
20,1266,ORCHPHARMA,EQ,25647,21496,83.81
20,1267,ORICONENT,EQ,156213,106410,68.12
20,1268,ORIENTABRA,EQ,91671,62448,68.12
20,1269,ORIENTBELL,EQ,27623,17226,62.36
20,1270,ORIENTCEM,EQ,152016,75964,49.97
20,1271,ORIENTELEC,EQ,197194,63399,32.15
20,1272,ORIENTHOT,EQ,452335,136435,30.16
20,1273,ORIENTLTD,EQ,5764,3755,65.15
20,1274,ORIENTPPR,EQ,732478,288568,39.40
20,1275,ORISSAMINE,EQ,5143,2350,45.69
20,1276,ORTINLAB,EQ,23386,12709,54.34
20,1277,OSIAHYPER,SM,12400,7600,61.29
20,1278,OSWALAGRO,EQ,48471,26960,55.62
20,1279,OSWALSEEDS,SM,8000,8000,100.00
20,1280,PAGEIND,EQ,13957,4860,34.82
20,1281,PAISALO,EQ,39954,21473,53.74
20,1282,PANACEABIO,EQ,94588,39699,41.97
20,1283,PANACHE,EQ,4164,3333,80.04
20,1284,PANAMAPET,EQ,93684,27185,29.02
20,1285,PANSARI,EQ,724,281,38.81
20,1286,PAR,EQ,13495,9422,69.82
20,1287,PARAGMILK,EQ,191758,121083,63.14
20,1288,PARAS,EQ,47947,23490,48.99
20,1289,PARTYCRUS,SM,8000,4000,50.00
20,1290,PASHUPATI,SM,25600,12800,50.00
20,1291,PASUPTAC,EQ,100460,54242,53.99
20,1292,PATINTLOG,EQ,81400,47895,58.84
20,1293,PATINTPP,E1,99891,48310,48.36
20,1294,PAYTM,EQ,1325802,360968,27.23
20,1295,PBAINFRA,EQ,29519,18480,62.60
20,1296,PCBL,EQ,233847,109590,46.86
20,1297,PCHFL,N4,94,94,100.00
20,1298,PCJEWELLER,EQ,702391,550858,78.43
20,1299,PDMJEPAPER,EQ,108547,68103,62.74
20,1300,PDSL,EQ,17656,12319,69.77
20,1301,PEARLPOLY,EQ,35388,14235,40.23
20,1302,PEL,EQ,713154,280603,39.35
20,1303,PENIND,EQ,525762,198024,37.66
20,1304,PENTAGOLD,SM,3000,3000,100.00
20,1305,PERSISTENT,EQ,196160,79558,40.56
20,1306,PETRONET,EQ,1360206,651801,47.92
20,1307,PFC,EQ,5244710,2477857,47.24
20,1308,PFC,N5,260,260,100.00
20,1309,PFC,N6,100,100,100.00
20,1310,PFIZER,EQ,29702,14542,48.96
20,1311,PFOCUS,EQ,33598,11713,34.86
20,1312,PFS,EQ,527995,369880,70.05
20,1313,PGEL,EQ,110516,56910,51.49
20,1314,PGHH,EQ,3086,1392,45.11
20,1315,PGHL,EQ,6314,3227,51.11
20,1316,PGIL,EQ,3021,1555,51.47
20,1317,PGINVIT,IV,152665,139114,91.12
20,1318,PHOENIXLTD,EQ,116550,76104,65.30
20,1319,PIDILITIND,EQ,151611,71615,47.24
20,1320,PIIND,EQ,221417,129806,58.63
20,1321,PILANIINVS,EQ,1801,1238,68.74
20,1322,PIONDIST,EQ,4902,4313,87.98
20,1323,PIONEEREMB,EQ,42406,28610,67.47
20,1324,PITTIENG,EQ,129263,54440,42.12
20,1325,PLASTIBLEN,EQ,14317,8043,56.18
20,1326,PNB,EQ,39630801,6114135,15.43
20,1327,PNBGILTS,EQ,114987,70755,61.53
20,1328,PNBHOUSING,EQ,915437,358447,39.16
20,1329,PNC,EQ,9126,4998,54.77
20,1330,PNCINFRA,EQ,194533,96192,49.45
20,1331,PODDARHOUS,EQ,7546,3794,50.28
20,1332,PODDARMENT,EQ,20092,9219,45.88
20,1333,POKARNA,EQ,21139,13154,62.23
20,1334,POLICYBZR,EQ,367620,209097,56.88
20,1335,POLYCAB,EQ,185219,38305,20.68
20,1336,POLYMED,EQ,17291,7870,45.52
20,1337,POLYPLEX,EQ,98963,35095,35.46
20,1338,PONNIERODE,EQ,6797,4190,61.64
20,1339,POONAWALLA,EQ,1221447,512033,41.92
20,1340,POONAWALLA,N4,100,100,100.00
20,1341,POWERGRID,EQ,10950483,5776664,52.75
20,1342,POWERINDIA,EQ,170932,31787,18.60
20,1343,POWERMECH,EQ,14541,10044,69.07
20,1344,PPAP,EQ,13762,2650,19.26
20,1345,PPL,EQ,102207,55857,54.65
20,1346,PRAJIND,EQ,398912,201148,50.42
20,1347,PRAKASH,EQ,738947,456366,61.76
20,1348,PRAKASHSTL,EQ,3475732,1674711,48.18
20,1349,PRAXIS,EQ,33820,24292,71.83
20,1350,PRECAM,EQ,226397,98119,43.34
20,1351,PRECISION,SM,134000,84000,62.69
20,1352,PRECOT,EQ,7638,3592,47.03
20,1353,PREMEXPLN,EQ,38390,31782,82.79
20,1354,PREMIERPOL,EQ,10961,3055,27.87
20,1355,PRESSMN,EQ,84733,55824,65.88
20,1356,PRESTIGE,EQ,386680,162456,42.01
20,1357,PRICOLLTD,EQ,938862,369856,39.39
20,1358,PRIMESECU,EQ,5236,3128,59.74
20,1359,PRINCEPIPE,EQ,93293,51013,54.68
20,1360,PRITI,SM,32000,22400,70.00
